Travel to the Chamber of Heart and commune with Azeroth.	The Heart of Azeroth	Our world's dyin', George. Sargeras's sword has cut deep. Her pain is drivin' the elements into a frenzy! I can hear Azeroth's voice, but she needs more than her speaker. She needs her champion. Far below us lies an ancient titan vault called the Chamber of Heart. I sense she wishes tae speak tae ye there. Come with me into the chamber. It may be our only chance tae save her! 
Recover the Branch of Nordrassil from the Firelands.	Delegation	I am duty-bound to look into your claims immediately, Human, which means my mission here now must fall to you. A surge of ancient magic, far too strong to have occurred naturally, drew me here. I have since discovered a most troubling development. A bough from Nordrassil has been ripped from the tree and taken deep into the Firelands. There, a powerful ritual threatens to corrupt Nordrassil, consuming it in flame. You must find a way to interrupt the ritual and reclaim the World Tree's branch. 
Meet Magni Bronzebeard in Silithus, located within Kalimdor.	A Dying World	Champion. Magni Bronzebeard needs your help. Azeroth is dying. Before this war, a massive demon called Sargeras stabbed the planet with a sword. Our planet cries out in pain while the Horde and Alliance fight amongst each other. Magni Bronzebeard believes you can help heal the planet's wounds. Meet him in Silithus. He has set up camp where Sargeras's sword impacted our world. 
Accumulate 20 Winterspring Cub Whiskers shed by your Winterspring Cub. Bring the whiskers, 20 Runecloth, 20 Rugged Leather, and 80 gold to Rivern Frostwind.	They Grow Up So Fast	I think this little fellow will be a good match for you. This cub is going to require a lot of attention to ensure that he grows up strong and healthy. You should check up on your cub at least once each day. Feeding and caring for your Winterspring cub is the best way to build a bond of trust with him. As your cub grows, he will shed his old whiskers and grow new ones appropriate to his size. Once your cub has shed twenty whiskers, bring him back to me along with some materials for your saddle. 
Loot 3 Black Empire Caches in Uldum.	Lessons in Brigandry	The Wastewanders have spent many generations as brigands, whether on land or sea. Though we have decided to hang up that life for a chance at a more peaceful existence, we have not forgotten the lessons we've learned in those days. One such lesson I feel is particularly relevant now -- when faced with a superior opponent, it often helps to use their weapons against them. Find their hidden caches and take whatever you can carry. You may just find something that can turn the tide of this battle. 
Mor'vek in Un'goro Crater claims that if you were poisoned by Venomhide Ravasaur blood 20 times, you could ride one without dying. Attack Venomhide Ravasaurs for a chance to be poisoned.	Toxic Tolerance	You want to ride a Venomhide? Then I've got bad news for you. The Venomhide Ravasaurs, they're all poison: Poison blood, poison spit, poison skin. You climb on one, you fall off dead in a few hours. You'd have to build up a resistance to their toxins before I sold you one, and that takes a long, LONG time... you'd need to be splashed with poisonous blood while fighting one numerous times. If you're really interested, the venomhides prefer the northern area of the Marshlands, northwest of here. 
Check in with Recruiter Lee at Stormwind Harbor.	Legion: The Legion Returns	Heroes of the Alliance, I write to you in Azeroth's darkest hour. From the maw of hell, the burning armies of the Legion have returned. Our fleets depart for the Broken Isles at once. As a grand lance, we will pierce the Legion's lines and drive them back to the nether that spawned them. Your ship awaits in the Stormwind Harbor, make haste. 
Complete 4 Azerite world quests.	Champions of Azeroth	Assist Magni by completing 4 Azerite world quests. 
Attend the war meeting in Grommash Hold.	Battle for Azeroth: Mission Statement	The warchief has requested to meet with you in person. Lady Sylvanas was impressed with the prowess and courage you displayed during our mission to Exile's Reach. Now that you've arrived, I will make the introduction. 
Breathe in the incense in front of Keeper Karithus, and then choose the blessing of the Great Stag Spirit, the Great Thistle Bear Spirit, or the Great Moonstalker Spirit. Keep in mind that you can only receive the blessing of one spirit, so choose wisely.	The Ritual Bond	I will tend to Grimclaw until his rest is done - he will be ready to return very soon. I have one more task for you while we wait... a favor to grant you, really, should you recognize it. The great wildlife spirits roam around us waiting and hoping for someone that will aid in stopping the destruction. They are with us as we speak even now, and with the materials you brought me, I can grant you sight. Speak to these spirits, choose one, and return to me with their blessing. 
